Company,Average Salary,symbol,industry,sector
"GlycoMimetics, Inc.",173.0,GLYC,Biotechnology,Healthcare
Gamida Cell Ltd.,201.3333333333333,GMDA,Biotechnology,Healthcare
"Gossamer Bio, Inc.",157.85,GOSS,Biotechnology,Healthcare
"GeoVax Labs, Inc.",165.5,GOVX,Biotechnology,Healthcare
"Gritstone bio, Inc.",162.35,GRTS,Biotechnology,Healthcare
"Galera Therapeutics, Inc.",213.5,GRTX,Biotechnology,Healthcare
"G1 Therapeutics, Inc.",239.65,GTHX,Biotechnology,Healthcare
"Halozyme Therapeutics, Inc.",157.5,HALO,Biotechnology,Healthcare
"Harpoon Therapeutics, Inc.",243.7894736842105,HARP,Biotechnology,Healthcare
"Humanigen, Inc.",339.0,HGEN,Biotechnology,Healthcare
HOOKIPA Pharma Inc.,204.5,HOOK,Biotechnology,Healthcare
"Heron Therapeutics, Inc.",194.15,HRTX,Biotechnology,Healthcare
Histogen Inc.,263.0,HSTO,Biotechnology,Healthcare
"iBio, Inc.",118.2,IBIO,Biotechnology,Healthcare
ImmuCell Corporation,161.83333333333334,ICCC,Biotechnology,Healthcare
"Intercept Pharmaceuticals, Inc.",229.3,ICPT,Biotechnology,Healthcare
"IDEAYA Biosciences, Inc.",171.73684210526315,IDYA,Biotechnology,Healthcare
"IGM Biosciences, Inc.",135.65,IGMS,Biotechnology,Healthcare
I-MAB,170.8,IMAB,Biotechnology,Healthcare
"ImmunoGen, Inc.",161.65,IMGN,Biotechnology,Healthcare
Immatics N.V.,117.0,IMTX,Biotechnology,Healthcare
"Immunic, Inc.",83.0,IMUX,Biotechnology,Healthcare
"Immunovant, Inc.",250.27272727272728,IMVT,Biotechnology,Healthcare
"Inhibrx, Inc.",100.54545454545456,INBX,Biotechnology,Healthcare
Incyte Corporation,178.45,INCY,Biotechnology,Healthcare
"Inovio Pharmaceuticals, Inc.",200.6,INO,Biotechnology,Healthcare
Insmed Incorporated,209.25,INSM,Biotechnology,Healthcare
"Ionis Pharmaceuticals, Inc.",207.75,IONS,Biotechnology,Healthcare
"Iovance Biotherapeutics, Inc.",167.45,IOVA,Biotechnology,Healthcare
"Ironwood Pharmaceuticals, Inc.",193.15,IRWD,Drug Manufacturers - Specialty & Generic,Healthcare
"KalVista Pharmaceuticals, Inc.",150.25,KALV,Biotechnology,Healthcare
"Kiniksa Pharmaceuticals, Ltd.",220.5,KNSA,Biotechnology,Healthcare
Kodiak Sciences Inc,133.08333333333334,KOD,Biotechnology,Healthcare
Karyopharm Therapeutics Inc.,220.8,KPTI,Biotechnology,Healthcare
"Kiromic BioPharma, Inc.",98.64285714285714,KRBP,Biotechnology,Healthcare
"Keros Therapeutics, Inc.",145.83333333333334,KROS,Biotechnology,Healthcare
"Karuna Therapeutics, Inc.",176.44444444444446,KRTX,Biotechnology,Healthcare
"Krystal Biotech, Inc.",101.4,KRYS,Biotechnology,Healthcare
"Kura Oncology, Inc.",175.28571428571428,KURA,Biotechnology,Healthcare
"Kymera Therapeutics, Inc.",242.63636363636363,KYMR,Biotechnology,Healthcare
"Kezar Life Sciences, Inc.",136.66666666666666,KZR,Biotechnology,Healthcare
Legend Biotech Corporation,109.2,LEGN,Biotechnology,Healthcare
"aTyr Pharma, Inc.",181.11111111111111,LIFE,Biotechnology,Healthcare
"Leap Therapeutics, Inc.",388.5,LPTX,Biotechnology,Healthcare
"Larimar Therapeutics, Inc.",212.0,LRMR,Biotechnology,Healthcare
Lantern Pharma Inc.,126.23529411764706,LTRN,Biotechnology,Healthcare
"Lexicon Pharmaceuticals, Inc.",159.4,LXRX,Biotechnology,Healthcare
"Merrimack Pharmaceuticals, Inc.",211.3,MACK,Biotechnology,Healthcare
"Mustang Bio, Inc.",121.85,MBIO,Biotechnology,Healthcare
"Moleculin Biotech, Inc.",170.0,MBRX,Biotechnology,Healthcare
"Seres Therapeutics, Inc.",143.45,MCRB,Biotechnology,Healthcare
"Madrigal Pharmaceuticals, Inc.",399.0,MDGL,Biotechnology,Healthcare
"MiMedx Group, Inc",103.9,MDXG,Biotechnology,Healthcare
"MEI Pharma, Inc.",201.3636363636364,MEIP,Biotechnology,Healthcare
"MacroGenics, Inc.",127.05,MGNX,Biotechnology,Healthcare
MeiraGTx Holdings plc,159.0,MGTX,Biotechnology,Healthcare
"Mirum Pharmaceuticals, Inc.",167.54545454545453,MIRM,Biotechnology,Healthcare
MannKind Corporation,175.95,MNKD,Biotechnology,Healthcare
"MediciNova, Inc.",241.3333333333333,MNOV,Biotechnology,Healthcare
Monopar Therapeutics Inc.,159.0,MNPR,Biotechnology,Healthcare
"Morphic Holding, Inc.",115.21428571428572,MORF,Biotechnology,Healthcare
"Marker Therapeutics, Inc.",132.8,MRKR,Biotechnology,Healthcare
"Mersana Therapeutics, Inc.",191.2,MRSN,Biotechnology,Healthcare
"Mirati Therapeutics, Inc.",199.65,MRTX,Biotechnology,Healthcare
Merus N.V.,165.55555555555554,MRUS,Biotechnology,Healthcare
"Molecular Templates, Inc.",152.3,MTEM,Biotechnology,Healthcare
"Matinas Biopharma Holdings, Inc",177.5,MTNB,Biotechnology,Healthcare
"Myriad Genetics, Inc.",160.55,MYGN,Diagnostics & Research,Healthcare
"Navidea Biopharmaceuticals, Inc",244.8571428571429,NAVB,Biotechnology,Healthcare
"Neurocrine Biosciences, Inc.",188.35,NBIX,Drug Manufacturers - Specialty & Generic,Healthcare
"NeuBase Therapeutics, Inc.",184.66666666666663,NBSE,Biotechnology,Healthcare
"Nkarta, Inc.",99.1,NKTX,Biotechnology,Healthcare
"Neoleukin Therapeutics, Inc.",176.6,NLTX,Biotechnology,Healthcare
"NanoViricides, Inc.",116.0,NNVC,Biotechnology,Healthcare
"NeuroBo Pharmaceuticals, Inc.",114.0,NRBO,Biotechnology,Healthcare
"Intellia Therapeutics, Inc.",148.5,NTLA,Biotechnology,Healthcare
"Natera, Inc.",149.0,NTRA,Diagnostics & Research,Healthcare
"Novavax, Inc.",136.55,NVAX,Biotechnology,Healthcare
Invitae Corporation,170.05,NVTA,Diagnostics & Research,Healthcare
"NextCure, Inc.",164.55,NXTC,Biotechnology,Healthcare
OncoCyte Corporation,111.71428571428572,OCX,Diagnostics & Research,Healthcare
Oragenics Inc.,79.0,OGEN,Biotechnology,Healthcare
"Organovo Holdings, Inc.",112.15,ONVO,Biotechnology,Healthcare
"OpGen, Inc.",144.66666666666666,OPGN,Medical Devices,Healthcare
"Opko Health, Inc.",129.05,OPK,Diagnostics & Research,Healthcare
Organogenesis Holdings Inc.,128.4,ORGO,Drug Manufacturers - Specialty & Generic,Healthcare
"Oric Pharmaceuticals, Inc.",152.55555555555554,ORIC,Biotechnology,Healthcare
Orchard Therapeutics plc,178.33333333333334,ORTX,Biotechnology,Healthcare
"Outlook Therapeutics, Inc.",132.15384615384616,OTLK,Biotechnology,Healthcare
Ovid Therapeutics Inc.,195.25,OVID,Biotechnology,Healthcare
"Passage Bio, Inc.",313.72727272727275,PASG,Biotechnology,Healthcare
Puma Biotechnology Inc,238.4,PBYI,Biotechnology,Healthcare
"Vaxcyte, Inc.",151.5,PCVX,Biotechnology,Healthcare
PDS Biotechnology Corporation,310.5,PDSB,Biotechnology,Healthcare
BiomX Inc.,68.0,PHGE,Biotechnology,Healthcare
"Pieris Pharmaceuticals, Inc.",248.57142857142856,PIRS,Biotechnology,Healthcare
"Protalix BioTherapeutics, Inc. ",238.0,PLX,Biotechnology,Healthcare
"PMV Pharmaceuticals, Inc.",301.0,PMVP,Biotechnology,Healthcare
ProQR Therapeutics N.V.,330.5,PRQR,Biotechnology,Healthcare
Prothena Corporation plc,138.0,PRTA,Biotechnology,Healthcare
"PLUS THERAPEUTICS, Inc.",466.0,PSTV,Biotechnology,Healthcare
"Poseida Therapeutics, Inc.",151.8,PSTX,Biotechnology,Healthcare
"PTC Therapeutics, Inc.",168.35,PTCT,Biotechnology,Healthcare
"Protagonist Therapeutics, Inc.",159.0,PTGX,Biotechnology,Healthcare
uniQure N.V.,108.75,QURE,Biotechnology,Healthcare
"RAPT Therapeutics, Inc.",172.23529411764707,RAPT,Biotechnology,Healthcare
Ultragenyx Pharmaceutical Inc.,217.2,RARE,Biotechnology,Healthcare
"Avita Medical, Inc.",128.08333333333334,RCEL,Medical Devices,Healthcare
"Rocket Pharmaceuticals, Inc.",197.35,RCKT,Biotechnology,Healthcare
"Arcus Biosciences, Inc.",160.9,RCUS,Biotechnology,Healthcare
"Schnitzer Steel Industries, Inc",93.3,RDUS,Steel,Basic Materials
"Regeneron Pharmaceuticals, Inc.",138.25,REGN,Biotechnology,Healthcare
"Replimune Group, Inc.",116.45,REPL,Biotechnology,Healthcare
Regulus Therapeutics Inc.,136.76470588235293,RGLS,Biotechnology,Healthcare
REGENXBIO Inc.,138.15,RGNX,Biotechnology,Healthcare
"Rigel Pharmaceuticals, Inc.",159.0,RIGL,Biotechnology,Healthcare
"Relay Therapeutics, Inc.",191.65,RLAY,Biotechnology,Healthcare
"Avidity Biosciences, Inc.",150.36363636363637,RNA,Biotechnology,Healthcare
Repare Therapeutics Inc.,141.6,RPTX,Biotechnology,Healthcare
"Rubius Therapeutics, Inc.",162.0,RUBY,Biotechnology,Healthcare
"Revolution Medicines, Inc.",141.5,RVMD,Biotechnology,Healthcare
"Rhythm Pharmaceuticals, Inc.",311.7,RYTM,Biotechnology,Healthcare
"Rezolute, Inc.",191.5,RZLT,Biotechnology,Healthcare
"Sage Therapeutics, Inc.",194.5,SAGE,Biotechnology,Healthcare
"Selecta Biosciences, Inc.",161.1764705882353,SELB,Biotechnology,Healthcare
Seagen Inc.,170.2,SGEN,Biotechnology,Healthcare
"Sangamo Therapeutics, Inc.",178.45,SGMO,Biotechnology,Healthcare
Solid Biosciences Inc.,170.7,SLDB,Biotechnology,Healthcare
"Soleno Therapeutics, Inc.",71.0,SLNO,Biotechnology,Healthcare
"Salarius Pharmaceuticals, Inc.",291.3333333333333,SLRX,Biotechnology,Healthcare
Summit Therapeutics Inc.,101.0,SMMT,Biotechnology,Healthcare
"Syndax Pharmaceuticals, Inc.",162.8,SNDX,Biotechnology,Healthcare
"Soligenix, Inc.",319.0,SNGX,Biotechnology,Healthcare
Sonnet BioTherapeutics Holdings,183.0,SONN,Biotechnology,Healthcare
"Spero Therapeutics, Inc.",219.2,SPRO,Biotechnology,Healthcare
"Sarepta Therapeutics, Inc.",168.85,SRPT,Biotechnology,Healthcare
"Stoke Therapeutics, Inc.",198.75,STOK,Biotechnology,Healthcare
"Sutro Biopharma, Inc.",170.25,STRO,Biotechnology,Healthcare
"Savara, Inc.",255.66666666666663,SVRA,Biotechnology,Healthcare
"SpringWorks Therapeutics, Inc.",226.2,SWTX,Biotechnology,Healthcare
"Synlogic, Inc.",136.25,SYBX,Biotechnology,Healthcare
"Syros Pharmaceuticals, Inc.",168.05,SYRS,Biotechnology,Healthcare
"Telesis Bio, Inc.",197.1,TBIO,Medical Devices,Healthcare
"TRACON Pharmaceuticals, Inc.",167.0,TCON,Biotechnology,Healthcare
"Tenax Therapeutics, Inc.",105.0,TENX,Biotechnology,Healthcare
"TG Therapeutics, Inc.",234.7,TGTX,Biotechnology,Healthcare
Theratechnologies Inc.,243.0,THTX,Biotechnology,Healthcare
Tonix Pharmaceuticals Holding C,147.33333333333334,TNXP,Biotechnology,Healthcare
"Trevena, Inc.",213.3333333333333,TRVN,Biotechnology,Healthcare
"Taysha Gene Therapies, Inc.",147.71428571428572,TSHA,Biotechnology,Healthcare
"T2 Biosystems, Inc.",130.6,TTOO,Diagnostics & Research,Healthcare
Twist Bioscience Corporation,156.9,TWST,Diagnostics & Research,Healthcare
"Unity Biotechnology, Inc.",211.25,UBX,Biotechnology,Healthcare
UroGen Pharma Ltd.,266.6666666666667,URGN,Biotechnology,Healthcare
United Therapeutics Corporation,89.0,UTHR,Biotechnology,Healthcare
"VBI Vaccines, Inc.",279.8,VBIV,Biotechnology,Healthcare
Vericel Corporation,136.5,VCEL,Biotechnology,Healthcare
"Vaccinex, Inc.",132.5,VCNX,Biotechnology,Healthcare
"Veracyte, Inc.",118.9,VCYT,Biotechnology,Healthcare
"Vir Biotechnology, Inc.",186.6,VIR,Biotechnology,Healthcare
"Viking Therapeutics, Inc.",58.0,VKTX,Biotechnology,Healthcare
Vanda Pharmaceuticals Inc.,196.25,VNDA,Biotechnology,Healthcare
"Verastem, Inc.",189.16666666666663,VSTM,Biotechnology,Healthcare
"VistaGen Therapeutics, Inc.",128.75,VTGN,Biotechnology,Healthcare
