year,symbol,marketCap,NetIncomeLoss,OperatingIncomeLoss,ResearchAndDevelopmentExpense,GeneralAndAdministrativeExpense,Revenues,CostOfGoodsSold,SalesRevenueGoodsNet,SalesRevenueNet,PaymentsToAcquirePropertyPlantAndEquipment,NetCashProvidedByUsedInOperatingActivities,CommonStockValue,CashAndCashEquivalentsAtCarryingValue,operatingMargin
2017,AKBA,,-76914000.0,-79917000.0,230893000.0,27008000.0,,,,,1622000.0,,,70156000.0,-0.4231
2018,AKBA,,-143588000.0,-178161000.0,291007000.0,,,,,,1606000.0,-97494000.0,,,-0.8576
2019,AKBA,,-279659000.0,-286288000.0,322969000.0,,,,,,6655000.0,-257441000.0,,,-0.8546
2020,AKBA,449.1796,,,,,,,,,,,,,
2015,AKRO,,,,,,,,,,,,,,
2016,AKRO,,,,,,,,,,,,,,
2017,AKRO,,,,,,,,,,,,,,
2018,AKRO,,,,,,,,,,,,,,
2019,AKRO,,-43755000.0,-45651000.0,37046000.0,8605000.0,,,,,,,,,
2020,AKRO,895.6268,,,,,,,,,,,,,
2015,AKUS,,,,,,,,,,,,,,
2016,AKUS,,,,,,,,,,,,,,
2017,AKUS,,,,,,,,,,,,,,
2018,AKUS,,,,,,,,,,,,,,
2019,AKUS,,,,,,,,,,,,,,
2020,AKUS,649.2615,,,,,,,,,,,,,
2015,ALBO,,,,,,,,,,,,,,
2016,ALBO,,-13755000.0,-12294000.0,3682000.0,10289000.0,,,11364000.0,,3000.0,,,28684000.0,-1.0818
2017,ALBO,,-24414000.0,-24577000.0,12991000.0,15246000.0,,,1000.0,,190000.0,,,53231000.0,-24577.0
2018,ALBO,,-46111000.0,-37890000.0,31732000.0,18061000.0,,,,,61000.0,-26802000.0,,,-2.9741
2019,ALBO,,-62717000.0,-61112000.0,45575000.0,22963000.0,,,,,540000.0,-52919000.0,,,-5.959
2020,ALBO,661.0078,,,,,,,,,,,,,
2015,ALDX,,-12090287.0,,,,,,,,86119.0,,9713.0,14648866.0,
2016,ALDX,,-18699450.0,,,,,,,,11810.0,,12576.0,12015061.0,
2017,ALDX,,-22340589.0,,,,,,,,24759.0,,19138.0,20023337.0,
2018,ALDX,,-38893245.0,-39699151.0,29823007.0,9876144.0,,,,,262966.0,-29857131.0,,47357472.0,
2019,ALDX,,-60826831.0,-63074307.0,44351851.0,12154702.0,,,,,9529.0,-44984226.0,,,
2020,ALDX,295.1571,,,,,,,,,,,,,
2015,ALEC,,,,,,,,,,,,,,
2016,ALEC,,,,,,,,,,,,,,-36.375
2017,ALEC,,,,,,,,,,,,,,-8.7494
2018,ALEC,,,,,,,,,,,,,,-2.0699
2019,ALEC,,-105385000.0,-114404000.0,100528000.0,35095000.0,21219000.0,,,,15265000.0,-99308000.0,,,-5.3916
2020,ALEC,752.1979,,,,,,,,,,,,,
2015,ALKS,,,-224301000.0,344404000.0,,,138989000.0,149028000.0,628335000.0,52877000.0,,,181109000.0,-0.35700000000000004
2016,ALKS,,,-208665000.0,387148000.0,,,132122000.0,256146000.0,745694000.0,43657000.0,,,186378000.0,-0.2798
2017,ALKS,,,-147900000.0,412889000.0,,,154748000.0,362834000.0,903374000.0,51300000.0,19190000.0,,191296000.0,-0.1637
2018,ALKS,,-139311000.0,-99128000.0,425406000.0,,,,,,69431000.0,99281000.0,,,-0.0906
2019,ALKS,,196620000.0,175479000.0,512833000.0,,,,,,90942000.0,72077000.0,,,-0.1499
2020,ALKS,2606.726,,,,,,,,,,,,,
2015,ALLK,,,,,,,,,,,,,,
2016,ALLK,,,,,,,,,,,,,,
2017,ALLK,,,,,,,,,,,,,,
2018,ALLK,,-43538000.0,-45721000.0,33287000.0,12434000.0,,,,,6946000.0,-38450000.0,,,
2019,ALLK,,85372000.0,91418000.0,61858000.0,29560000.0,,,,,770000.0,63012000.0,,,
2020,ALLK,4394.404,,,,,,,,,,,,,
2015,ALLO,,,,,,,,,,,,,,
2016,ALLO,,,,,,,,,,,,,,
2017,ALLO,,,,,,,,,,,,,,
2018,ALLO,,-211505000.0,-192842000.0,151860000.0,40982000.0,,,,,3234000.0,-44653000.0,,,
2019,ALLO,,184594000.0,202008000.0,144535000.0,57473000.0,,,,,50791000.0,137350000.0,,,
2020,ALLO,5056.282,,,,,,,,,,,,,
2015,ALNA,,,,,,,,,,,,,,
2016,ALNA,,,,,,,,,,,,,,
2017,ALNA,,-21650000.0,,15519000.0,5431000.0,,,,,57000.0,,,94494000.0,
2018,ALNA,,-35648000.0,,26376000.0,9217000.0,,,,,318000.0,-31839000.0,,,
2019,ALNA,,-47339000.0,,37244000.0,9676000.0,,,,,122000.0,-43632000.0,,,
2020,ALNA,52.98531,,,,,,,,,,,,,
2015,ALNY,,-290073000.0,,,,,,,,12950000.0,,851000.0,180895000.0,-7.2027
2016,ALNY,,-410108000.0,,,,,,,,64557000.0,,,193617000.0,-9.0033
2017,ALNY,,-490874000.0,,,,,,,,104209000.0,,,645361000.0,-5.562
2018,ALNY,,,,,,,,,,126887000.0,-562616000.0,,,-10.6011
